"","convergence","mu","time","density","x_C","x_PSU","CO2","H+","PC","PC-","PQ","PQH2","ATP","NADPH","C3","A","Protein","tau Carbon_T","tau PSII","tau PSI","tau Cyt6bf","tau ATPsyn","tau C_fix","tau Met","tau Ribosome","v Carbon_T","v PSII","v PSI","v Cyt6bf","v ATPsyn","v C_fix","v Met","v Ribosome","p Carbon_T","p PSII","p PSI","p Cyt6bf","p ATPsyn","p C_fix","p Met","p Ribosome","f Carbon_T","f PSII","f PSI","f Cyt6bf","f ATPsyn","f C_fix","f Met","f Ribosome"
"1",4,0.0931958800135854,1.369,385.67,0.000525,1100,21.1748663108432,0.838129177673019,14.957365679572,132.614413321501,60.2825429181256,7.05198976405526,5.67052853543095,9.96466929348557,13.6901265380876,29.2903803146846,90.1349893092684,0.135812239461912,0.387109595651749,0.0373247383663486,0.00237269269362393,0.447578265498696,0.536877723949451,0.642541713725145,4.62568913411501,10.0956978651919,78.4412628577422,181.039879808867,254.050737362265,4.03122244449919,9.02476396131427,8.6098895234443,8.40020964869237,1.37111933600256,30.3653655472732,6.75726614774114,0.602784328349219,1.80428754954836,4.84519473473144,5.53221316937807,38.8567584962444,0.28088191248573,2.18238820371629,5.03688089282323,7.06818467941212,0.11215643385786,0.251086452371568,0.239543840151353,0.233710139002952
"2",4,0.0942074425015082,0.238,385.67,0.000525,1057.69230769231,21.2230865866116,0.835939907589779,14.9749898688098,132.649436476048,60.3372205847257,7.01783023748151,5.58628859468926,9.98828620709834,13.6871199975057,28.8390052334353,90.5307965781011,0.135812347806778,0.391526448687275,0.0377511867339399,0.00237587523108944,0.448215966712406,0.537181224722037,0.643496968197621,4.48607325378635,10.1962646727195,79.3168384689907,183.069985022988,256.89789953676,4.07656400396843,9.1076577371186,8.68692129660259,8.5286748132472,1.38477864406134,31.0546400868662,6.9111091899824,0.610357356428292,1.82718107590371,4.8924627375745,5.59000751733511,38.2602599699496,0.280633833285536,2.18305321979306,5.03867183773529,7.070652304946,0.112200086971886,0.250671886721293,0.239091873462043,0.234736423828924
"3",4,0.0951754499833814,0.233,385.67,0.000525,1017.01183431953,21.2692896854223,0.833600054542075,14.9905929570164,132.686774942662,60.3925776295163,6.983168567157,5.50282888299568,10.011710903894,13.682766449169,28.3925012767987,90.9241888313777,0.135812458419401,0.396120017876929,0.0381946870567667,0.00237923264017692,0.448901233540888,0.537521715476543,0.644503433907071,4.35156943773865,10.2918658665516,80.156462027931,185.017224015956,259.629021922278,4.12008119948419,9.18616849990511,8.75989449565326,8.65375058640031,1.39776360505909,31.7515791714555,7.06667497140115,0.617717843294693,1.84950953273707,4.93776505072558,5.64578208311218,37.6573965735925,0.280384060443572,2.18372398023807,5.04047382605206,7.07314303542832,0.112244476467868,0.250261250711893,0.238648153755187,0.235756446784499
"4",4,0.0960977039172458,0.253,385.67,0.000525,977.895994538006,21.3132557883184,0.831109657390306,15.0041166197936,132.726606822803,60.448675626881,6.94799989172864,5.42016112594877,10.0349581491139,13.6770179018005,27.9508428124859,91.3152558292302,0.135812571340511,0.400897360887758,0.038655920775859,0.00238277045483008,0.449634828718524,0.537901222993795,0.645562651303887,4.22199173611076,10.3822522299057,80.9583221124254,186.877395725844,262.238229445882,4.16168100692867,9.26010809516376,8.82864230929519,8.77518641780491,1.41004037164925,32.4559776767723,7.22391780397709,0.624853505250598,1.87123672673151,4.98102346944333,5.69944173660228,37.0487645388038,0.280131990129452,2.18440232318464,5.0422909803806,7.07566291744444,0.112289699473566,0.24985450671676,0.238212777485796,0.236770440607852
"5",4,0.0969720615117058,0.226,385.67,0.000525,940.284610132698,21.3549322990882,0.82846843020643,15.0155318530139,132.768989906924,60.5055305362471,6.91232245591941,5.33828858832526,10.058031115225,13.6698528086542,27.5140335506413,91.7040186518924,0.13581268662243,0.40586582367088,0.039135596999355,0.00238649302878861,0.450417673004303,0.538320386716926,0.646675764473683,4.09716119530244,10.467197831035,81.720602341794,188.646288953354,264.719627121913,4.20127002648053,9.32929558061053,8.89300197021527,8.89272773758192,1.42157825884133,33.1675995803327,7.38278513990235,0.631751544709967,1.89232626899009,5.02215000475076,5.75088884755493,36.4349390068103,0.279877474469156,2.18508870900532,5.04412429883567,7.07821347004885,0.112335781128355,0.249451641960546,0.237785792534981,0.237778459957716
"6",4,0.097796445116178,0.222,385.67,0.000525,904.119817435287,21.3942652217258,0.82567579795569,15.0248085833128,132.813981944238,60.5631557457678,6.87613680051047,5.25721479298914,10.0809326556142,13.6612544849209,27.0820774739225,92.0904969618248,0.135812804317948,0.411033046101606,0.0396344531839151,0.00239040473603947,0.451250840177796,0.538779877064269,0.647843847384982,3.97690554215359,10.5464849007046,82.4415384021996,190.319811412973,267.067486329777,4.23875747348323,9.39355757349684,8.9528171656046,9.00612323184865,1.43234769006159,33.8861966547587,7.54322165541902,0.638399384164856,1.91274287121922,5.06105979464476,5.80002751749959,35.8165013940571,0.279620371792949,2.18578358915259,5.04597474209666,7.08079616331231,0.112382746652995,0.249052654594344,0.237367244917157,0.238780555816695
"7",4,0.0985688515081178,0.226,385.67,0.000525,869.34597830316,21.4312035895701,0.822731536977463,15.031922303096,132.861636536886,60.6215651847084,6.83944333085245,5.17694312665979,10.1036662469868,13.6512002313932,26.6549757688687,92.4747122195779,0.135812924480834,0.416406973290358,0.0401532562823328,0.00239451001450066,0.452135370088255,0.539280357265782,0.649068145902412,3.86105908346692,10.6199042645958,83.1194266369774,191.894010829378,269.27627343387,4.27405556437887,9.45272793370579,9.00793867243334,9.1151261770275,1.44232025588124,34.6115088675337,7.70516939587674,0.644784733404818,1.9324516943782,5.09767049722509,5.84676605251894,35.1940407227591,0.27936053102162,2.18648742822753,5.04784331661807,7.08341251142832,0.112430621061369,0.248657523586769,0.236957176660288,0.239776783829642
"8",4,0.0992873614831787,0.243,385.67,0.000525,835.90959452227,21.465699055445,0.819635538807563,15.0368441882246,132.912009922907,60.6807691493083,6.80224576778046,5.09747680090309,10.1262350684601,13.6396704760684,26.2327297766119,92.8566845791858,0.135813047165892,0.42199586836405,0.0406928038974539,0.00239881332431309,0.45307234009599,0.539822491704582,0.650349882417025,3.74946236410485,10.6872572127298,83.7526312005966,193.365089746949,271.340671807139,4.30707989205727,9.50664954569192,9.0582251695812,9.21949520794313,1.4514689679065,35.3432643312698,7.86856767768617,0.65089561895903,1.95141876567477,5.13190324551764,5.89101567394407,34.5681502982278,0.27909781356953,2.18720068053935,5.04973097351556,7.08606396631452,0.112479428240075,0.248266234241466,0.236555627821822,0.240767196253755
"9",4,0.099950148842997,0.269,385.67,0.000525,803.759225502182,21.4976983893069,0.816388005920801,15.0395530119941,132.965152529897,60.740779777161,6.76454637215996,5.01881903984011,10.1486425894035,13.6266467817904,25.8153392941526,93.2364345099218,0.135813172428652,0.427808324396168,0.0412539255380793,0.00240331928327077,0.454062807257505,0.540407010128028,0.651690296005894,3.64196196747545,10.7483555168001,84.3395924539962,194.729427273868,273.255610627212,4.33774985264662,9.55517484778553,9.10354385968293,9.31899550685702,1.45976826112761,36.0811797279998,8.03335329282897,0.656720478282308,1.96961087527355,5.16368347074231,5.93269119261941,33.9394272110479,0.278832068058982,2.18792381275835,5.05163872127655,7.08875203288669,0.112529192046681,0.247878771716178,0.236162635027609,0.241751846163616
"10",4,0.100555489688183,0.247,385.67,0.000525,772.845409136714,21.5271530126312,0.812989037700666,15.0400229641146,133.021117519311,60.8016058726808,6.7263503218484,4.94097301425953,10.1708921314247,13.6121106662953,25.4028036094966,93.6139819270757,0.135813300325433,0.433853278331137,0.0418374838620626,0.00240803259474961,0.455107935824694,0.541034624911215,0.653090672523756,3.53841026143258,10.8030233032209,84.8788337847884,195.983592671006,275.016285528883,4.36598902018748,9.59816654493701,9.14377121244217,9.41339979433783,1.46719424830299,36.8249602984542,8.19946039560228,0.662248179640515,1.9869962508108,5.19294043647537,5.97171169053721,33.3084704272524,0.278563153184435,2.18865727806574,5.05356750740068,7.09147814678468,0.112579935643519,0.247495118958954,0.235778232578239,0.242730785197385
